,Date(UTC),total_eth_supply,total_block_uncle_reward,total_block_count,total_uncle_count,BurntFees
294,5/19/2016,80190320.65625,31903.59375,6011,459,0.0
295,5/20/2016,80222410.34375,32089.6875,6037,478,0.0
296,5/21/2016,80254249.875,31839.53125,5981,485,0.0
297,5/22/2016,80286506.125,32256.25,6084,460,0.0
298,5/23/2016,80318586.75,32080.625,6013,516,0.0
299,5/24/2016,80350590.03125,32003.28125,6010,501,0.0
300,5/25/2016,80382947.0625,32357.03125,6029,557,0.0
301,5/26/2016,80414991.4375,32044.375,6019,492,0.0
302,5/27/2016,80447313.15625,32321.71875,6045,527,0.0
303,5/28/2016,80479631.75,32318.59375,6019,563,0.0
304,5/29/2016,80511604.09375,31972.34375,6001,487,0.0
305,5/30/2016,80543608.15625,32004.0625,6007,498,0.0
306,5/31/2016,80575141.125,31532.96875,5936,459,0.0
307,6/1/2016,80607285.34375,32144.21875,6039,483,0.0
308,6/2/2016,80639467.53125,32182.1875,6072,454,0.0
309,6/3/2016,80671739.71875,32272.1875,6029,526,0.0
310,6/4/2016,80703881.28125,32141.5625,6016,506,0.0
311,6/5/2016,80735464.40625,31583.125,5963,440,0.0
312,6/6/2016,80767836.28125,32371.875,6108,460,0.0
313,6/7/2016,80799782.21875,31945.9375,5990,490,0.0
314,6/8/2016,80832085.1875,32302.96875,6091,463,0.0
315,6/9/2016,80864311.125,32225.9375,6092,438,0.0
316,6/10/2016,80895475.34375,31164.21875,5902,411,0.0
317,6/11/2016,80927850.8125,32375.46875,6114,447,0.0
318,6/12/2016,80960067.6875,32216.875,6065,468,0.0
319,6/13/2016,80992291.90625,32224.21875,6084,447,0.0
320,6/14/2016,81024437.375,32145.46875,6035,491,0.0
321,6/15/2016,81056304.40625,31867.03125,6007,453,0.0
322,6/16/2016,81088182.0625,31877.65625,6015,449,0.0
323,6/17/2016,81121598.46875,33416.40625,5849,1053,0.0
324,6/18/2016,81155985.65625,34387.1875,5889,1230,0.0
325,6/19/2016,81189181.125,33195.46875,6222,515,0.0
326,6/20/2016,81220895.96875,31714.84375,5949,491,0.0
327,6/21/2016,81252884.40625,31988.4375,5999,490,0.0
328,6/22/2016,81285555.03125,32670.625,6139,492,0.0
329,6/23/2016,81317403.15625,31848.125,6003,452,0.0
330,6/24/2016,81349575.03125,32171.875,6042,484,0.0
331,6/25/2016,81381260.96875,31685.9375,5998,422,0.0
332,6/26/2016,81413575.65625,32314.6875,6052,506,0.0
333,6/27/2016,81445670.5,32094.84375,6052,455,0.0
334,6/28/2016,81477831.90625,32161.40625,6067,457,0.0
335,6/29/2016,81509701.90625,31870.0,5991,480,0.0
336,6/30/2016,81541688.0,31986.09375,5985,515,0.0
337,7/1/2016,81574306.28125,32618.28125,6127,497,0.0
338,7/2/2016,81606222.84375,31916.5625,6003,478,0.0
339,7/3/2016,81638262.53125,32039.6875,6045,454,0.0
340,7/4/2016,81670403.46875,32140.9375,6067,450,0.0
341,7/5/2016,81701981.28125,31577.8125,5949,462,0.0
342,7/6/2016,81734336.125,32354.84375,6088,479,0.0
343,7/7/2016,81766232.0625,31895.9375,6036,434,0.0
344,7/8/2016,81798181.59375,31949.53125,5996,493,0.0
345,7/9/2016,81830979.71875,32798.125,6126,548,0.0
346,7/10/2016,81862945.1875,31965.46875,6046,435,0.0
347,7/11/2016,81894930.5,31985.3125,6029,466,0.0
348,7/12/2016,81926691.59375,31761.09375,6006,435,0.0
